Machine,InterpolationType,GridType,BatchSize,Time,RemovalFraction,MAE,RMSE,Max Error
CPU,Bilinear,A,1000,0,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,6,nan,nan,nan,nan
GPU,Bilinear,A,1000,13,nan,nan,nan,nan
GPU,Cubic,A,1000,40,nan,nan,nan,nan
GPU,Kriging,A,1000,7,nan,nan,nan,nan
CPU,Bilinear,A,5000,1,nan,nan,nan,nan
CPU,Cubic,A,5000,3,nan,nan,nan,nan
CPU,Kriging,A,5000,15,nan,nan,nan,nan
GPU,Bilinear,A,5000,2,nan,nan,nan,nan
GPU,Cubic,A,5000,4,nan,nan,nan,nan
GPU,Kriging,A,5000,9,nan,nan,nan,nan
CPU,Bilinear,A,10000,1,nan,nan,nan,nan
CPU,Cubic,A,10000,6,nan,nan,nan,nan
CPU,Kriging,A,10000,32,nan,nan,nan,nan
GPU,Bilinear,A,10000,3,nan,nan,nan,nan
GPU,Cubic,A,10000,10,nan,nan,nan,nan
GPU,Kriging,A,10000,18,nan,nan,nan,nan
CPU,Bilinear,A,50000,9,nan,nan,nan,nan
CPU,Cubic,A,50000,33,nan,nan,nan,nan
CPU,Kriging,A,50000,160,nan,nan,nan,nan
GPU,Bilinear,A,50000,9,nan,nan,nan,nan
GPU,Cubic,A,50000,45,nan,nan,nan,nan
GPU,Kriging,A,50000,78,nan,nan,nan,nan
CPU,Bilinear,A,100000,16,nan,nan,nan,nan
CPU,Cubic,A,100000,79,nan,nan,nan,nan
CPU,Kriging,A,100000,294,nan,nan,nan,nan
GPU,Bilinear,A,100000,18,nan,nan,nan,nan
GPU,Cubic,A,100000,86,nan,nan,nan,nan
GPU,Kriging,A,100000,151,nan,nan,nan,nan
CPU,Bilinear,A,1000000,168,nan,nan,nan,nan
CPU,Cubic,A,1000000,659,nan,nan,nan,nan
CPU,Kriging,A,1000000,3099,nan,nan,nan,nan
GPU,Bilinear,A,1000000,161,nan,nan,nan,nan
GPU,Cubic,A,1000000,788,nan,nan,nan,nan
GPU,Kriging,A,1000000,1495,nan,nan,nan,nan
CPU,Bilinear,A,5000000,791,nan,nan,nan,nan
CPU,Cubic,A,5000000,3433,nan,nan,nan,nan
CPU,Kriging,A,5000000,16300,nan,nan,nan,nan
GPU,Bilinear,A,5000000,807,nan,nan,nan,nan
GPU,Cubic,A,5000000,3896,nan,nan,nan,nan
GPU,Kriging,A,5000000,7462,nan,nan,nan,nan
CPU,Bilinear,A,1000,0,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,3,nan,nan,nan,nan
GPU,Bilinear,A,1000,11,nan,nan,nan,nan
GPU,Cubic,A,1000,40,nan,nan,nan,nan
GPU,Kriging,A,1000,7,nan,nan,nan,nan
CPU,Bilinear,A,5000,1,nan,nan,nan,nan
CPU,Cubic,A,5000,4,nan,nan,nan,nan
CPU,Kriging,A,5000,26,nan,nan,nan,nan
GPU,Bilinear,A,5000,2,nan,nan,nan,nan
GPU,Cubic,A,5000,4,nan,nan,nan,nan
GPU,Kriging,A,5000,9,nan,nan,nan,nan
CPU,Bilinear,A,10000,2,nan,nan,nan,nan
CPU,Cubic,A,10000,10,nan,nan,nan,nan
CPU,Kriging,A,10000,54,nan,nan,nan,nan
GPU,Bilinear,A,10000,4,nan,nan,nan,nan
GPU,Cubic,A,10000,9,nan,nan,nan,nan
GPU,Kriging,A,10000,18,nan,nan,nan,nan
CPU,Bilinear,A,50000,12,nan,nan,nan,nan
CPU,Cubic,A,50000,36,nan,nan,nan,nan
CPU,Kriging,A,50000,202,nan,nan,nan,nan
GPU,Bilinear,A,50000,11,nan,nan,nan,nan
GPU,Cubic,A,50000,42,nan,nan,nan,nan
GPU,Kriging,A,50000,72,nan,nan,nan,nan
CPU,Bilinear,A,100000,16,nan,nan,nan,nan
CPU,Cubic,A,100000,74,nan,nan,nan,nan
CPU,Kriging,A,100000,420,nan,nan,nan,nan
GPU,Bilinear,A,100000,20,nan,nan,nan,nan
GPU,Cubic,A,100000,80,nan,nan,nan,nan
GPU,Kriging,A,100000,142,nan,nan,nan,nan
CPU,Bilinear,A,1000000,210,nan,nan,nan,nan
CPU,Cubic,A,1000000,758,nan,nan,nan,nan
CPU,Kriging,A,1000000,3880,nan,nan,nan,nan
GPU,Bilinear,A,1000000,179,nan,nan,nan,nan
GPU,Cubic,A,1000000,735,nan,nan,nan,nan
GPU,Kriging,A,1000000,1385,nan,nan,nan,nan
CPU,Bilinear,A,5000000,1040,nan,nan,nan,nan
CPU,Cubic,A,5000000,3961,nan,nan,nan,nan
CPU,Kriging,A,5000000,17803,nan,nan,nan,nan
GPU,Bilinear,A,5000000,878,nan,nan,nan,nan
GPU,Cubic,A,5000000,3615,nan,nan,nan,nan
GPU,Kriging,A,5000000,6920,nan,nan,nan,nan
CPU,Bilinear,A,1000,1,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,4,nan,nan,nan,nan
GPU,Bilinear,A,1000,10,nan,nan,nan,nan
GPU,Cubic,A,1000,40,nan,nan,nan,nan
GPU,Kriging,A,1000,6,nan,nan,nan,nan
CPU,Bilinear,A,5000,1,nan,nan,nan,nan
CPU,Cubic,A,5000,4,nan,nan,nan,nan
CPU,Kriging,A,5000,20,nan,nan,nan,nan
GPU,Bilinear,A,5000,2,nan,nan,nan,nan
GPU,Cubic,A,5000,3,nan,nan,nan,nan
GPU,Kriging,A,5000,9,nan,nan,nan,nan
CPU,Bilinear,A,10000,1,nan,nan,nan,nan
CPU,Cubic,A,10000,6,nan,nan,nan,nan
CPU,Kriging,A,10000,32,nan,nan,nan,nan
GPU,Bilinear,A,10000,3,nan,nan,nan,nan
GPU,Cubic,A,10000,9,nan,nan,nan,nan
GPU,Kriging,A,10000,17,nan,nan,nan,nan
CPU,Bilinear,A,50000,8,nan,nan,nan,nan
CPU,Cubic,A,50000,37,nan,nan,nan,nan
CPU,Kriging,A,50000,170,nan,nan,nan,nan
GPU,Bilinear,A,50000,10,nan,nan,nan,nan
GPU,Cubic,A,50000,42,nan,nan,nan,nan
GPU,Kriging,A,50000,72,nan,nan,nan,nan
CPU,Bilinear,A,100000,16,nan,nan,nan,nan
CPU,Cubic,A,100000,90,nan,nan,nan,nan
CPU,Kriging,A,100000,340,nan,nan,nan,nan
GPU,Bilinear,A,100000,20,nan,nan,nan,nan
GPU,Cubic,A,100000,80,nan,nan,nan,nan
GPU,Kriging,A,100000,142,nan,nan,nan,nan
CPU,Bilinear,A,1000000,171,nan,nan,nan,nan
CPU,Cubic,A,1000000,717,nan,nan,nan,nan
CPU,Kriging,A,1000000,3102,nan,nan,nan,nan
GPU,Bilinear,A,1000000,178,nan,nan,nan,nan
GPU,Cubic,A,1000000,732,nan,nan,nan,nan
GPU,Kriging,A,1000000,1385,nan,nan,nan,nan
CPU,Bilinear,A,5000000,821,nan,nan,nan,nan
CPU,Cubic,A,5000000,3370,nan,nan,nan,nan
CPU,Kriging,A,5000000,15432,nan,nan,nan,nan
GPU,Bilinear,A,5000000,873,nan,nan,nan,nan
GPU,Cubic,A,5000000,3609,nan,nan,nan,nan
GPU,Kriging,A,5000000,6915,nan,nan,nan,nan
CPU,Bilinear,B,8101,1,0.01,3.54526,6.76434,196
CPU,Cubic,B,8101,21,0.01,3.91214,7.12105,156.5
CPU,Kriging,B,8101,23,0.01,3.37423,5.80733,168.544
GPU,Bilinear,B,8101,148,0.01,3.54526,6.76434,196
GPU,Cubic,B,8101,47,0.01,3.91214,7.12105,156.5
GPU,Kriging,B,8101,16,0.01,3.37423,5.80733,168.544
CPU,Bilinear,B,40507,6,0.05,3.53234,6.54998,211.333
CPU,Cubic,B,40507,119,0.05,3.90651,6.67734,156.5
CPU,Kriging,B,40507,114,0.05,3.34578,5.43306,168.544
GPU,Bilinear,B,40507,18,0.05,3.53234,6.54998,211.333
GPU,Cubic,B,40507,77,0.05,3.90651,6.67734,156.5
GPU,Kriging,B,40507,64,0.05,3.34578,5.43306,168.544
CPU,Bilinear,B,81015,10,0.1,3.55611,6.66007,211.333
CPU,Cubic,B,81015,212,0.1,3.92972,6.84991,243.25
CPU,Kriging,B,81015,255,0.1,3.31563,5.49789,175.722
GPU,Bilinear,B,81015,25,0.1,3.55611,6.66007,211.333
GPU,Cubic,B,81015,112,0.1,3.92972,6.84991,243.25
GPU,Kriging,B,81015,131,0.1,3.31563,5.49789,175.722
CPU,Bilinear,B,121523,14,0.15,3.59749,6.8165,217
CPU,Cubic,B,121523,337,0.15,3.96228,7.05392,313
CPU,Kriging,B,121523,355,0.15,3.27873,5.46581,175.722
GPU,Bilinear,B,121523,36,0.15,3.59749,6.8165,217
GPU,Cubic,B,121523,147,0.15,3.96228,7.05392,313
GPU,Kriging,B,121523,197,0.15,3.27873,5.46581,175.722
CPU,Bilinear,B,162031,24,0.2,3.63188,6.93917,217
CPU,Cubic,B,162031,470,0.2,3.98664,7.23748,313
CPU,Kriging,B,162031,515,0.2,3.23678,5.43078,190.573
GPU,Bilinear,B,162031,46,0.2,3.63188,6.93917,217
GPU,Cubic,B,162031,186,0.2,3.98664,7.23748,313
GPU,Kriging,B,162031,269,0.2,3.23678,5.43078,190.573
CPU,Bilinear,B,8101,1,0.01,3.54526,6.76434,196
CPU,Cubic,B,8101,25,0.01,3.91214,7.12105,156.5
CPU,Kriging,B,8101,25,0.01,3.37423,5.80733,168.544
GPU,Bilinear,B,8101,6,0.01,3.54526,6.76434,196
GPU,Cubic,B,8101,10,0.01,3.91214,7.12105,156.5
GPU,Kriging,B,8101,2,0.01,3.37423,5.80733,168.544
CPU,Bilinear,B,8101,1,0.01,3.54526,6.76434,196
CPU,Cubic,B,8101,22,0.01,3.91214,7.12105,156.5
CPU,Kriging,B,8101,25,0.01,3.37423,5.80733,168.544
GPU,Bilinear,B,8101,10,0.01,3.54526,6.76434,196
GPU,Cubic,B,8101,9,0.01,3.91214,7.12105,156.5
GPU,Kriging,B,8101,2,0.01,3.37423,5.80733,168.544
CPU,Bilinear,A,1000,0,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,4,nan,nan,nan,nan
GPU,Bilinear,A,1000,5,nan,nan,nan,nan
GPU,Cubic,A,1000,8,nan,nan,nan,nan
GPU,Kriging,A,1000,2,nan,nan,nan,nan
CPU,Bilinear,A,5000,1,nan,nan,nan,nan
CPU,Cubic,A,5000,3,nan,nan,nan,nan
CPU,Kriging,A,5000,15,nan,nan,nan,nan
GPU,Bilinear,A,5000,1,nan,nan,nan,nan
GPU,Cubic,A,5000,1,nan,nan,nan,nan
GPU,Kriging,A,5000,1,nan,nan,nan,nan
CPU,Bilinear,A,10000,2,nan,nan,nan,nan
CPU,Cubic,A,10000,7,nan,nan,nan,nan
CPU,Kriging,A,10000,31,nan,nan,nan,nan
GPU,Bilinear,A,10000,1,nan,nan,nan,nan
GPU,Cubic,A,10000,1,nan,nan,nan,nan
GPU,Kriging,A,10000,2,nan,nan,nan,nan
CPU,Bilinear,A,50000,8,nan,nan,nan,nan
CPU,Cubic,A,50000,34,nan,nan,nan,nan
CPU,Kriging,A,50000,154,nan,nan,nan,nan
GPU,Bilinear,A,50000,2,nan,nan,nan,nan
GPU,Cubic,A,50000,5,nan,nan,nan,nan
GPU,Kriging,A,50000,8,nan,nan,nan,nan
CPU,Bilinear,A,100000,15,nan,nan,nan,nan
CPU,Cubic,A,100000,71,nan,nan,nan,nan
CPU,Kriging,A,100000,325,nan,nan,nan,nan
GPU,Bilinear,A,100000,4,nan,nan,nan,nan
GPU,Cubic,A,100000,10,nan,nan,nan,nan
GPU,Kriging,A,100000,15,nan,nan,nan,nan
CPU,Bilinear,A,1000000,166,nan,nan,nan,nan
CPU,Cubic,A,1000000,678,nan,nan,nan,nan
CPU,Kriging,A,1000000,3132,nan,nan,nan,nan
GPU,Bilinear,A,1000000,35,nan,nan,nan,nan
GPU,Cubic,A,1000000,89,nan,nan,nan,nan
GPU,Kriging,A,1000000,122,nan,nan,nan,nan
CPU,Bilinear,A,5000000,792,nan,nan,nan,nan
CPU,Cubic,A,5000000,3357,nan,nan,nan,nan
CPU,Kriging,A,5000000,16784,nan,nan,nan,nan
GPU,Bilinear,A,5000000,403,nan,nan,nan,nan
GPU,Cubic,A,5000000,426,nan,nan,nan,nan
GPU,Kriging,A,5000000,563,nan,nan,nan,nan
CPU,Bilinear,A,1000,0,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,3,nan,nan,nan,nan
GPU,Bilinear,A,1000,4,nan,nan,nan,nan
GPU,Cubic,A,1000,9,nan,nan,nan,nan
GPU,Kriging,A,1000,1,nan,nan,nan,nan
CPU,Bilinear,A,5000,0,nan,nan,nan,nan
CPU,Cubic,A,5000,3,nan,nan,nan,nan
CPU,Kriging,A,5000,14,nan,nan,nan,nan
GPU,Bilinear,A,5000,1,nan,nan,nan,nan
GPU,Cubic,A,5000,1,nan,nan,nan,nan
GPU,Kriging,A,5000,1,nan,nan,nan,nan
CPU,Bilinear,A,10000,1,nan,nan,nan,nan
CPU,Cubic,A,10000,6,nan,nan,nan,nan
CPU,Kriging,A,10000,30,nan,nan,nan,nan
GPU,Bilinear,A,10000,1,nan,nan,nan,nan
GPU,Cubic,A,10000,1,nan,nan,nan,nan
GPU,Kriging,A,10000,2,nan,nan,nan,nan
CPU,Bilinear,A,50000,7,nan,nan,nan,nan
CPU,Cubic,A,50000,28,nan,nan,nan,nan
CPU,Kriging,A,50000,142,nan,nan,nan,nan
GPU,Bilinear,A,50000,2,nan,nan,nan,nan
GPU,Cubic,A,50000,5,nan,nan,nan,nan
GPU,Kriging,A,50000,8,nan,nan,nan,nan
CPU,Bilinear,A,100000,14,nan,nan,nan,nan
CPU,Cubic,A,100000,56,nan,nan,nan,nan
CPU,Kriging,A,100000,288,nan,nan,nan,nan
GPU,Bilinear,A,100000,4,nan,nan,nan,nan
GPU,Cubic,A,100000,10,nan,nan,nan,nan
GPU,Kriging,A,100000,15,nan,nan,nan,nan
CPU,Bilinear,A,1000000,139,nan,nan,nan,nan
CPU,Cubic,A,1000000,581,nan,nan,nan,nan
CPU,Kriging,A,1000000,2849,nan,nan,nan,nan
GPU,Bilinear,A,1000000,31,nan,nan,nan,nan
GPU,Cubic,A,1000000,89,nan,nan,nan,nan
GPU,Kriging,A,1000000,129,nan,nan,nan,nan
CPU,Bilinear,A,5000000,709,nan,nan,nan,nan
CPU,Cubic,A,5000000,2901,nan,nan,nan,nan
CPU,Kriging,A,5000000,14942,nan,nan,nan,nan
GPU,Bilinear,A,5000000,462,nan,nan,nan,nan
GPU,Cubic,A,5000000,420,nan,nan,nan,nan
GPU,Kriging,A,5000000,561,nan,nan,nan,nan
CPU,Bilinear,B,8101,2,0.01,3.54526,6.76434,196
CPU,Cubic,B,8101,36,0.01,3.91214,7.12105,156.5
CPU,Kriging,B,8101,42,0.01,3.37423,5.80733,168.544
GPU,Bilinear,B,8101,35,0.01,3.54526,6.76434,196
GPU,Cubic,B,8101,10,0.01,3.91214,7.12105,156.5
GPU,Kriging,B,8101,3,0.01,3.37423,5.80733,168.544
